sample	GCA_010279815.1_ASM1027981v1_genomic	rotifer_0.001_1	rotifer_0.001_2	rotifer_0.001_4	rotifer_0.001_8	rotifer_0.003_1	rotifer_0.003_2	rotifer_0.003_4	rotifer_0.003_8	rotifer_0.005_1	rotifer_0.005_2	rotifer_0.005_4	rotifer_0.005_8	rotifer_0.007_1	rotifer_0.007_2	rotifer_0.007_4	rotifer_0.007_8	rotifer_0.01_1	rotifer_0.01_2	rotifer_0.01_4	rotifer_0.01_8	rotifer_0.1_1	rotifer_0.1_2	rotifer_0.1_4	rotifer_0.1_8	rotifer_0.2_1	rotifer_0.2_2	rotifer_0.2_4	rotifer_0.2_8	rotifer_genome_1	rotifer_genome_2	rotifer_genome_4	rotifer_genome_8
GCA_010279815.1_ASM1027981v1_genomic	0.0	0.0012476438024591166	0.000916487281360714	0.0008952013779899961	0.0006916167187419691	0.0032528829842373265	0.0028999015775168775	0.002896907898532764	0.002673895694152667	0.005249878163929837	0.00488267495204624	0.004884515838549566	0.004753143959117229	0.007241512950601226	0.006718940304584239	0.006830532551626163	0.006761044184201662	0.010177262974206258	0.009969214911999381	0.009848497633856259	0.00970843470937617	0.09962001950497712	0.09915604717319151	0.09900181393285959	0.0989169827058376	0.19601863939712943	0.19531676457894878	0.19428834302474945	0.19578558875164917	0.0	0.0	0.0	0.0
rotifer_0.001_1	0.0012962549216910388	0.0	0.0	0.0	0.0	0.003836022632729896	0.004016594670048334	0.004003098011186716	0.0038759596130008055	0.005956048089934149	0.0058554115124129676	0.005952416879721655	0.005864125537331496	0.00817230424249407	0.00781647928157698	0.007924599047273728	0.007999020613657388	0.01107544973479756	0.010883109938581752	0.010971454874971557	0.010897042745454989	0.10024182683876579	0.09985834640422371	0.09971676188161205	0.0998699217455306	0.19867115967868332	0.1998439847815499	0.1955847287805471	0.198784593831299	0.0009422205291972966	0.000962907648524022	0.0009387244528722595	0.0007883319320594822
rotifer_0.001_2	0.0009328963707996712	0.0	0.0	0.0	0.0	0.0038881204176883207	0.003666569924369069	0.0035736950102321485	0.0034529727531030685	0.006029437853838794	0.0057175605756936455	0.005580541752079159	0.005545460725241389	0.007802848356698401	0.007443179071320469	0.007632160008311493	0.007603679561596455	0.010881332836947548	0.010736381106439052	0.010626682818700993	0.010470400313371273	0.10051887385492635	0.09962372925910433	0.09951482912009393	0.09905289889683959	0.19790948723526344	0.19535340803009063	0.19182790086087323	0.193290042440377	0.0009443452702505787	0.0006434688924007989	0.0005864990753052487	0.00042319147388694125
rotifer_0.001_4	0.0008991376101601091	0.0	0.0	0.0	0.0	0.004036247839859664	0.003710694596631604	0.0036496756266188564	0.003621452318153301	0.006198425695889911	0.005662363635121064	0.005745740373357815	0.005654299318892279	0.00801090997076881	0.007517329121677754	0.00769208486375598	0.007668718360695538	0.010962928134469883	0.01066403823162547	0.010549883657753447	0.010573841679090175	0.10229697778811689	0.10033599605837212	0.09969322030149252	0.09981430591853331	0.196739628068517	0.19820477248258617	0.19995645377175503	0.19839421099567842	0.0010785767790247999	0.0006113412683801032	0.0006560800176930328	0.0005723657324466171
rotifer_0.001_8	0.0006918042321254473	0.0	0.0	0.0	0.0	0.003927615452678365	0.0036633488827660103	0.003542994837873276	0.0034992378481455175	0.006196188860430185	0.005744345589035449	0.005608184371883006	0.00545644336891311	0.007980487590560258	0.007499576512114125	0.00759918928209441	0.007494117563518489	0.010876817146301515	0.010573366038061166	0.010465337245909052	0.010425831311043755	0.10349727792211484	0.10081810521043003	0.1002881897094053	0.09931789528855708	0.2015673664819175	0.20242772917984597	0.20128794714477363	0.19800125109286962	0.0010632545158156107	0.0005657247257355289	0.0005644140028365351	0.0004973064629492863
rotifer_0.003_1	0.0033795994495835068	0.0038365140940959455	0.003958794333660853	0.004123058847132189	0.003957504704272347	0.0	0.0	0.0	0.0	0.00796172954296442	0.0077114773069690695	0.007949142592163923	0.007755387230973195	0.010060052441189698	0.009532315709746997	0.009834975844051035	0.009737479660810696	0.01270868970325201	0.012787172923534682	0.012951424251280007	0.012870243703974172	0.10080377084028917	0.1006481515694423	0.10001734988518629	0.1001071026743143	0.20715027445569448	0.19977352302566997	0.1981898397016639	0.19762421306803574	0.002773696357174534	0.0029235980613204413	0.0029399614564182405	0.0028635680994710928
rotifer_0.003_2	0.0029512751051562753	0.003945152796172556	0.003666363530956921	0.003728828026900607	0.003641594517709478	0.0	0.0	0.0	0.0	0.007937054557715484	0.007810376604964857	0.00763404474021265	0.007564124017636456	0.010055776354844427	0.009418469762606064	0.009694375399171779	0.00973060786797805	0.012621922994923703	0.012504505086679423	0.012493973657940926	0.01235774076328377	0.1027308712634547	0.10095078277455961	0.10079961741024734	0.10077120370210038	0.20504740361957186	0.20421861947299552	0.19777922612611679	0.20077309633525203	0.0029173742539036545	0.002574778332545171	0.002631290195734875	0.002539795171471842
rotifer_0.003_4	0.0029096206842528726	0.003918673656268598	0.0035557212350288345	0.0036493308133081132	0.003511802668645617	0.0	0.0	0.0	0.0	0.008100130096648662	0.007696070223339669	0.007613682828952499	0.007464376441581185	0.009937388777161214	0.00946033664927702	0.009552429528149805	0.009634590512878374	0.012674393716564473	0.012461278454771522	0.012458323112214974	0.012408290877550281	0.10305847982556234	0.10143326901370256	0.10096029474158251	0.1011821135039905	0.19500245540434835	0.19742577298188801	0.19707172948738155	0.1975806958616261	0.0030035658202767763	0.0025690779832400804	0.0025832392665888185	0.0025276666800891846
rotifer_0.003_8	0.002674605299637479	0.0038456541382659065	0.003472435053215377	0.003652368874961306	0.0034984633508479274	0.0	0.0	0.0	0.0	0.008092862832337823	0.007657364455147561	0.007533354817911031	0.007502032868810701	0.009956210830949145	0.00935155227326493	0.00958002128009355	0.009468465986845413	0.01259825787718385	0.012418950392763388	0.012434286368943559	0.01240753652884468	0.1042465187981906	0.102196506810251	0.10128063463297057	0.1006067227277398	0.19827188033950316	0.20420598639454413	0.19881111930736406	0.197911018928801	0.0030994306028799563	0.0025506885840315863	0.002491000546444123	0.0025176931284455113
rotifer_0.005_1	0.00545486468284893	0.005956837808147141	0.006138908583678961	0.006331489764993636	0.006243369019367412	0.007961777793211212	0.008081243655427856	0.008274770954223841	0.00815762467228135	0.0	0.0	0.0	0.0	0.012104163055369817	0.011816338807043499	0.012102190907130769	0.012229027813298664	0.014887704630631871	0.015410118207466315	0.015221825376368984	0.015212110899198545	0.10340820434282813	0.10198017509612575	0.10148500992083095	0.1017333789191583	0.20183539660840458	0.20171080924377208	0.19383217731670624	0.1986873802081311	0.004811570615278905	0.005076125882711077	0.005196132837232581	0.005198296759664377
rotifer_0.005_2	0.004969066991993985	0.005751603163561554	0.005717451790844963	0.005690110827001424	0.00571065866091844	0.007574162446948313	0.0078106659655394085	0.007734469339160312	0.007615021758760975	0.0	0.0	0.0	0.0	0.011653434465126776	0.01124687224190901	0.011499648566708664	0.011521947492504538	0.014661249662495861	0.014677665997820314	0.014633540088761225	0.014596841553458506	0.10391568396235872	0.10254386569679669	0.10171337857241328	0.10164053583896084	0.20161493366657432	0.20054562925322106	0.19848283888663792	0.1988667301601663	0.004826034778345903	0.004705116525448044	0.004709667506160237	0.004627820279593369
rotifer_0.005_4	0.004905547466074951	0.005826033744862707	0.0055516854556594206	0.005744379262282151	0.005558398607737121	0.00777992628009141	0.007595157590636717	0.007612600721879915	0.007468640226039708	0.0	0.0	0.0	0.0	0.011866010292020989	0.011429520753062075	0.011565853271035265	0.011482083650829998	0.014695698289176119	0.014653801760989595	0.014589994708528427	0.014465500698702503	0.10467294524856892	0.10300814036217404	0.10248890754759678	0.10217956225180169	0.20020383303927589	0.19955889358258472	0.20137833739898026	0.20079539029335822	0.004987110890220562	0.004542325090795459	0.004646922214920753	0.00453280825895636
rotifer_0.005_8	0.00475438494806582	0.005816163138513028	0.005574947316669746	0.005701040643958055	0.005454180546951008	0.007691072876273495	0.007604357279928878	0.007526468766411482	0.007500580251978659	0.0	0.0	0.0	0.0	0.011994684738708359	0.011335165182122438	0.011540419305022004	0.011372880307838553	0.014693742826504564	0.014670581657434975	0.014594488983636147	0.014440577177585368	0.10549993664337035	0.1036981123352028	0.10271302543972353	0.10209328872974116	0.20021636274879762	0.20130929004438494	0.1994960322680589	0.19552389014653704	0.005074394483510071	0.004624226997712533	0.004580912174908987	0.004512431031821332
rotifer_0.007_1	0.007525485480255228	0.00817353933253669	0.007944462410974929	0.008182640315487329	0.008040989949627828	0.01006030441663195	0.01023811824395012	0.010151209247305271	0.010035405153802895	0.01210438522737177	0.011863681215385499	0.01212256039639899	0.012093744879685368	0.0	0.0	0.0	0.0	0.016906989558162618	0.016975799610931073	0.017075586584680166	0.01698145286543391	0.10410314670457718	0.10428630148901963	0.10380985536089714	0.10370085248800193	0.19449529647978459	0.1960165075182923	0.1914890947723895	0.19081601656923888	0.006918542867163632	0.006980627802775697	0.007078484574831185	0.007070429889816776
rotifer_0.007_2	0.006836972221790036	0.007677655426497547	0.007442497492687502	0.007553507404912054	0.007455415255151492	0.009362351472348625	0.009418137284626128	0.009506697261451617	0.00929952408549118	0.011606427664545808	0.011246062890973694	0.011487052529015161	0.011275308432468363	0.0	0.0	0.0	0.0	0.016388553218112348	0.01614229907365857	0.01629914642457173	0.016225917575482876	0.10450853392892759	0.10282118071941208	0.10280846522268457	0.10298256732360173	0.19857347987751348	0.19731509889247648	0.1928990660248587	0.19390861050665636	0.006605203979649031	0.006585198169127825	0.006461696359489331	0.006407506141738695
rotifer_0.007_4	0.006859750343284101	0.007755836223339568	0.007592143186189039	0.007689628231355837	0.007531498265306438	0.00962509028536676	0.009644320077634522	0.009550281418949182	0.009497394136549502	0.011844931594580256	0.01144019095529049	0.0115648893340748	0.011443753198892539	0.0	0.0	0.0	0.0	0.01657184558924167	0.016427110478439096	0.016380421669687898	0.01637052432723193	0.10672451386142008	0.10448194149317198	0.10429464812280172	0.1039718475639509	0.19822504940436975	0.19655593161879395	0.19832194905748757	0.19746796534589023	0.006911377548578392	0.006621573568326831	0.006606040392345558	0.006537566792416136
