sample	unclassified-kra_ERR9709202_	unclassified-kra_ERR9709203_	unclassified-kra_ERR9709204_	unclassified-kra_ERR9709206_	unclassified-kra_ERR9709208_	unclassified-kra_ERR9709209_	unclassified-kra_ERR9709210_	unclassified-kra_ERR9709211_	unclassified-kra_ERR9709212_	unclassified-kra_ERR9709213_	unclassified-kra_ERR9709214_	unclassified-kra_ERR9709215_	unclassified-kra_ERR9709216_	unclassified-kra_ERR9709217_	unclassified-kra_ERR9709218_	unclassified-kra_ERR9709219_	unclassified-kra_ERR9709220_	unclassified-kra_ERR9709221_	unclassified-kra_ERR9709222_	unclassified-kra_ERR9709223_	unclassified-kra_ERR9709224_	unclassified-kra_ERR9709225_	unclassified-kra_ERR9709226_	unclassified-kra_ERR9709227_	unclassified-kra_ERR9709228_	unclassified-kra_ERR9709229_	unclassified-kra_ERR9709230_	unclassified-kra_ERR9709231_	unclassified-kra_ERR9709234_	unclassified-kra_ERR9709235_	unclassified-kra_ERR9709236_	unclassified-kra_ERR9709238_	unclassified-kra_ERR9709240_	unclassified-kra_ERR9709241_	unclassified-kra_ERR9709242_	unclassified-kra_ERR9709243_	unclassified-kra_ERR9709244_	unclassified-kra_ERR9709245_	unclassified-kra_ERR9709246_	unclassified-kra_ERR9709247_	unclassified-kra_ERR9709248_	unclassified-kra_ERR9709249_	unclassified-kra_ERR9709251_	unclassified-kra_ERR9709252_	unclassified-kra_ERR9709253_
unclassified-kra_ERR9709202_	0.0	0.0028557974251386398	0.005956072707618665	0.0061091311994627695	0.006115599704678565	0.006233188762074016	0.006071920633375805	0.006154712474675916	0.006186015740958228	0.006227622053622595	0.006392424916360051	0.0062576606280965175	0.006348827983052807	0.006220057157221959	0.006224221048529266	0.006081350984812994	0.006374955543601457	0.0063075410727856385	0.002859107249272852	0.0039281196249455475	0.0060948184607168	0.006310290364304083	0.003911623423263788	0.00624411240255951	0.006235867845648002	0.002561006696546686	0.006187220072186528	0.0062899619333598444	0.006145892144706511	0.0062542930807765185	0.006372210733540107	0.00617535907204414	0.006280708662218415	0.006074863637350436	0.0062464636493373416	0.006316958406688111	0.006318201695955206	0.006200824694551743	0.006250758142527069	0.006106636434209056	0.006212696573421939	0.0064473332080766665	0.0028279341546715298	0.006097118189615003	0.006227887013835698
unclassified-kra_ERR9709203_	0.0028557974251386398	0.0	0.0024416155874180667	0.0028630132315348167	0.0028110535602443587	0.003124150861014252	0.002956781326575064	0.0027388031363727583	0.0029399790907752577	0.00308093357436956	0.003026504295212895	0.002893635392811955	0.003366095885421916	0.003204292980791612	0.003080808582651473	0.0028382757007278103	0.003077351506711179	0.003419042558184482	0	0	0.0027314853072558654	0.003343584291511381	0.00035709802943006963	0.003030218793656725	0.0030972357128845607	0	0.003242381709453568	0.003142968637855903	0.0030061817219013687	0.003103436614634858	0.0030741463227647037	0.003060332534719268	0.0031555226258609403	0.0029359499252308296	0.0032891283213050126	0.0032362172117987864	0.0031321807762074716	0.0030390508064230826	0.0032098881056960016	0.0025704756490175784	0.0032709261504656473	0.0031503337520678576	0	0.0028498389461473206	0.002790658252085132
unclassified-kra_ERR9709204_	0.005956072707618665	0.0024416155874180667	0.0	0.005885645714349574	0.005863942450788473	0.006050424590327452	0.005925176873905369	0.005828357549970353	0.005949010252991771	0.005952758766542443	0.00601096353234043	0.005839181801177817	0.006348415084193482	0.006153089347620266	0.006064212845508399	0.005912049717087697	0.006115059645182996	0.0062379872924848145	0.0021000554050615294	0.003250104664539233	0.005868517027965203	0.0062001241915715655	0.0037447138830676296	0.006007903297819972	0.006133418877415142	0.0019268308545909996	0.0061473975247571255	0.006070877876988234	0.005930966397870496	0.0060303518953760404	0.006040729743553741	0.005931362054408584	0.006088642839425784	0.005905249239529398	0.006205027722333223	0.006206518672285721	0.006120057863466144	0.006061389463108413	0.006082878785281243	0.0056922886475802015	0.006185718353969194	0.006048440172526592	0.002444010470429303	0.00580131648821558	0.005823703681248293
unclassified-kra_ERR9709206_	0.0061091311994627695	0.0028630132315348167	0.005885645714349574	0.0	0.006101169414261642	0.006192977834157176	0.006072998927447948	0.006073131392262399	0.006167354832517624	0.006176117691749972	0.006241017540304483	0.006156307029921426	0.006350250355475318	0.00623282672799963	0.006184961425974911	0.006034502744849624	0.0063118275143223546	0.006301509425393426	0.0026152644170971406	0.0037506553534478737	0.006026597445020987	0.006277896805426453	0.0037867587483303433	0.006184687005130196	0.006254589143397493	0.0023522423960388172	0.006232059211702445	0.006221983669851605	0.006121445075250365	0.006185983216739133	0.006253558417187444	0.006120977794169202	0.006236285159936461	0.006041630099695605	0.006223745973234163	0.006282553758224396	0.006250738703832415	0.006196776401336868	0.006184494144109376	0.005949008877676243	0.006238227635637084	0.006291966082165645	0.0026588753128904408	0.0060461835550560394	0.00613258770457048
unclassified-kra_ERR9709208_	0.006115599704678565	0.0028110535602443587	0.005863942450788473	0.006101169414261642	0.0	0.006239841317786654	0.006111621073379481	0.006115861847133086	0.006177231575200226	0.00615022087856576	0.006246025401937749	0.006073940034897141	0.0064056391794282685	0.006315298463131724	0.00623104399223362	0.006062856548328943	0.006300124070065305	0.00637087511708756	0.0025825374930776857	0.0037284236602957987	0.006085441374072742	0.006338920242663693	0.0037530223878036173	0.00617767322000029	0.0062495323182826246	0.0023595618977144683	0.006305589546708901	0.006228412911026715	0.0061155340504648326	0.0062673848297132295	0.006301578669644425	0.006175364733997046	0.006242613958534204	0.00610520995124042	0.00628081689915283	0.006336010247618762	0.006254764199887242	0.006193547410494715	0.006157193992377907	0.005961477481939204	0.006352136329118796	0.006305227073466146	0.0025324041823764354	0.006074677979393983	0.006102166020265254
unclassified-kra_ERR9709209_	0.006233188762074016	0.003124150861014252	0.006050424590327452	0.006192977834157176	0.006239841317786654	0.0	0.006181224059531365	0.0062760377144137625	0.006157352962769647	0.006192114127220205	0.006309554103350656	0.006210282257975486	0.006343676167372747	0.006218900863977583	0.006259833132836845	0.006084443272762696	0.006336495045459856	0.006250658696041911	0.00302809084299116	0.0040446043466243475	0.006026300200247192	0.006290653266406765	0.0037416278383020085	0.006168677113441934	0.006214852106652846	0.0027002315877291405	0.006161461752069997	0.006199512636309357	0.00611635347711903	0.006259452972716795	0.006306850108618534	0.006128385015207183	0.006232381173314261	0.006178860014336873	0.0063005652472449825	0.006272026250952023	0.006271047661289608	0.006222562131012133	0.006184519310599712	0.006182252402592736	0.0061490540346883504	0.006343117080924721	0.0025106119884690248	0.006098159049838903	0.006230061329600467
unclassified-kra_ERR9709210_	0.006071920633375805	0.002956781326575064	0.005925176873905369	0.006072998927447948	0.006111621073379481	0.006181224059531365	0.0	0.00615891482131159	0.006145821456101541	0.006154311821122582	0.006269507147637299	0.0061444484507152675	0.006366144894441428	0.006292481845021958	0.006249328653180508	0.0060640821511069865	0.00630091998088067	0.006311021955076157	0.0027113129042389827	0.0037219700707228354	0.006041008197609554	0.006298725139752714	0.0038576073786833476	0.006171087768002126	0.006290967997096941	0.0024823495023226227	0.006238915050886695	0.006240885370046967	0.006123052172267274	0.006206833330069883	0.006319797436891483	0.006155224343243781	0.00624679994509747	0.0061001175562573895	0.006273628447210244	0.0063197192716785144	0.006233211004023187	0.0062340049585731805	0.006202836749145235	0.005997539139218078	0.006275272917414476	0.0063523795660759275	0.0026602284750435468	0.006051973272770739	0.00617280236619655
unclassified-kra_ERR9709211_	0.006154712474675916	0.0027388031363727583	0.005828357549970353	0.006073131392262399	0.006115861847133086	0.0062760377144137625	0.00615891482131159	0.0	0.006286816684182073	0.006178367283074193	0.006213602158215981	0.00616884280512997	0.006516990425311953	0.006425435765175513	0.006303040251324221	0.0061731093888417465	0.006329523294936856	0.0064468198570523105	0.0024118486440849463	0.0035922276655953045	0.006147161114104183	0.006411811611413909	0.00394655526828569	0.006271065063344183	0.006294544514722777	0.0022243004173398973	0.0063384513712974044	0.006344474657242749	0.006194888931924325	0.006263313098992196	0.006296016349962241	0.006224560211310126	0.006306882533020586	0.006134443252619248	0.006380846842118593	0.006404058948724978	0.006314227558543495	0.006316426525772356	0.006318496598700207	0.005957773089323437	0.0063447443552555605	0.0063027248422116156	0.0027372723990500836	0.006062788212572112	0.006101581676282053
unclassified-kra_ERR9709212_	0.006186015740958228	0.0029399790907752577	0.005949010252991771	0.006167354832517624	0.006177231575200226	0.006157352962769647	0.006145821456101541	0.006286816684182073	0.0	0.006188360742574783	0.006262706194377854	0.006157529966500319	0.006319197556771905	0.00627185070599412	0.006194253581865428	0.005979992556806257	0.006359994098232624	0.006253227185549659	0.002705099421847934	0.0037810397867283907	0.006016845767089274	0.00626612249014824	0.003890524913137461	0.006182847948303816	0.0062921778830676844	0.00250534806715208	0.006189466458818016	0.006184217210245646	0.006152518735462187	0.006254716572458241	0.006280668913608345	0.006137725652930026	0.006260453058028026	0.006195835434272268	0.006290017528435388	0.006271684075985884	0.006257722540778499	0.006190256832407148	0.006250309619955763	0.006057711229323193	0.006180086858195155	0.0063775902131613105	0.002772098503976639	0.006093613526777175	0.006166360964363515
unclassified-kra_ERR9709213_	0.006227622053622595	0.00308093357436956	0.005952758766542443	0.006176117691749972	0.00615022087856576	0.006192114127220205	0.006154311821122582	0.006178367283074193	0.006188360742574783	0.0	0.006205140934219977	0.006080154703511531	0.006400667259440218	0.006304987245803084	0.006325622035750489	0.00617032660949679	0.006330742826890057	0.0063737770798482085	0.0027569245614328386	0.0038559345711438597	0.006061654186172549	0.006312253992791894	0.0037664680876664525	0.006203090631399788	0.0062380289267767175	0.0025320143596667677	0.00626774107159267	0.006265327133801346	0.006099052953469575	0.006216608011075486	0.006240282488677695	0.006144039020072656	0.006279206210497712	0.006204800179680503	0.006289944048174956	0.006345757483414705	0.006279523717677038	0.006220572862815965	0.006209036853080274	0.006056145346996056	0.00623345025344979	0.0063099043221839235	0.0024732208704684178	0.005991816768882607	0.006106225158073131
